number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.004413368221210079,-0.004527851380610758,-0.004413368221210079,0.004527851380610758,-0.004413368221210079,-0.004527851380610758,209.0,breakout,1,"{""adx_thresh"": 6.3186892245921005, ""atr_max_pct"": 0.0725323277561879, ""atr_min_pct"": 0.005828579662470618, ""bb_std_mult"": 0.7771391212060108, ""edge_cap"": 0.27231581492152945, ""edge_k"": 0.17146120770505302, ""ema1"": 8, ""ema2"": 56, ""p_adx"": 30, ""p_atr"": 25, ""p_sma"": 21, ""p_std"": 58, ""rsi_ob"": 79, ""rsi_os"": 24, ""rsi_period"": 23, ""rsi_required"": false, ""slip_atr_k"": 0.01715962949428007, ""slip_spread_k"": 0.07533272233965715, ""spread_hl_frac"": 0.027176734474365638, ""strategy"": ""breakout"", ""time_stop"": 84, ""tp_mult"": 1.1345208234230009, ""tsl_mult"": 0.2975672820151686, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.128750706768553}"
1,-0.23217759192179055,-0.23213923801446,-1000000000.0,0.23213923801446,-0.23217759192179055,-0.23213923801446,6817.0,breakout,1,"{""adx_thresh"": 14.111357931116022, ""atr_max_pct"": 0.011034169142580577, ""atr_min_pct"": 0.009053006192575104, ""bb_std_mult"": 1.3657925045265458, ""edge_cap"": 0.3546260344488225, ""edge_k"": 0.14808897704029444, ""ema1"": 28, ""ema2"": 52, ""p_adx"": 9, ""p_atr"": 9, ""p_sma"": 34, ""p_std"": 8, ""rsi_ob"": 52, ""rsi_os"": 9, ""rsi_period"": 32, ""rsi_required"": true, ""slip_atr_k"": 0.18752006742262295, ""slip_spread_k"": 0.4692538147471125, ""spread_hl_frac"": 0.04336621852122824, ""strategy"": ""breakout"", ""time_stop"": 67, ""tp_mult"": 2.163132099886734, ""tsl_mult"": 0.7183180639839141, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.14843026342757445}"
2,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 17.96538463279638, ""atr_max_pct"": 0.054624233316257556, ""atr_min_pct"": 0.013923779338668915, ""bb_std_mult"": 3.059211801508486, ""edge_cap"": 0.1254546433817244, ""edge_k"": 0.6669986433773476, ""ema1"": 6, ""ema2"": 11, ""p_adx"": 19, ""p_atr"": 22, ""p_sma"": 28, ""p_std"": 42, ""rsi_ob"": 72, ""rsi_os"": 27, ""rsi_period"": 34, ""rsi_required"": true, ""slip_atr_k"": 0.19506412360927702, ""slip_spread_k"": 0.1802325557248048, ""spread_hl_frac"": 0.02014505515064759, ""strategy"": ""mean_reversion"", ""time_stop"": 192, ""tp_mult"": 2.24147561161831, ""tsl_mult"": 0.23100274723505876, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.0045891533175748235}"
3,-0.0017225834912938387,-0.0016528775391839682,-1000000000.0,1000000000.0,-0.0017225834912938387,-0.0016528775391839682,40.0,mean_reversion,1,"{""adx_thresh"": 16.862513692320224, ""atr_max_pct"": 0.05378537746802811, ""atr_min_pct"": 0.017412392135736428, ""bb_std_mult"": 3.5569096930456183, ""edge_cap"": 0.2837905837214161, ""edge_k"": 1.3162335368327909, ""ema1"": 28, ""ema2"": 56, ""p_adx"": 10, ""p_atr"": 14, ""p_sma"": 21, ""p_std"": 8, ""rsi_ob"": 71, ""rsi_os"": 20, ""rsi_period"": 70, ""rsi_required"": true, ""slip_atr_k"": 0.24090091237314254, ""slip_spread_k"": 0.4633299835924899, ""spread_hl_frac"": 0.02345193834302787, ""strategy"": ""mean_reversion"", ""time_stop"": 140, ""tp_mult"": 2.9326691208282636, ""tsl_mult"": 0.980039958920417, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.07140998800244461}"
4,-0.08728697308451594,-0.0872931046188128,-1000000000.0,0.0872931046188128,-0.08728697308451594,-0.0872931046188128,2014.0,breakout,1,"{""adx_thresh"": 33.446735914690855, ""atr_max_pct"": 0.027743303337395754, ""atr_min_pct"": 0.0013486330924577228, ""bb_std_mult"": 1.9459211467076953, ""edge_cap"": 0.0755189559141385, ""edge_k"": 0.5102144257842918, ""ema1"": 8, ""ema2"": 60, ""p_adx"": 30, ""p_atr"": 24, ""p_sma"": 49, ""p_std"": 16, ""rsi_ob"": 81, ""rsi_os"": 8, ""rsi_period"": 7, ""rsi_required"": false, ""slip_atr_k"": 0.06172418352619116, ""slip_spread_k"": 0.3607073468881903, ""spread_hl_frac"": 0.027081625922587373, ""strategy"": ""breakout"", ""time_stop"": 83, ""tp_mult"": 2.5913976748439396, ""tsl_mult"": 0.4643537107173321, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.0412471835453719}"
5,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 8.407939816394489, ""atr_max_pct"": 0.12858413617700407, ""atr_min_pct"": 0.023467150437304903, ""bb_std_mult"": 2.202834089321686, ""edge_cap"": 0.9348949092558126, ""edge_k"": 0.8445176746921517, ""ema1"": 11, ""ema2"": 18, ""p_adx"": 20, ""p_atr"": 29, ""p_sma"": 32, ""p_std"": 16, ""rsi_ob"": 53, ""rsi_os"": 14, ""rsi_period"": 77, ""rsi_required"": false, ""slip_atr_k"": 0.19583903379571338, ""slip_spread_k"": 0.282787028934256, ""spread_hl_frac"": 0.025050563307584046, ""strategy"": ""mean_reversion"", ""time_stop"": 108, ""tp_mult"": 1.9759841534280778, ""tsl_mult"": 0.5764942154986288, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.01572965193873359}"
6,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 8.332357430530646, ""atr_max_pct"": 0.0963105276861693, ""atr_min_pct"": 0.026118065623047134, ""bb_std_mult"": 1.0437852388305418, ""edge_cap"": 0.28327385017813, ""edge_k"": 0.3220599814829599, ""ema1"": 27, ""ema2"": 16, ""p_adx"": 28, ""p_atr"": 27, ""p_sma"": 57, ""p_std"": 42, ""rsi_ob"": 50, ""rsi_os"": 36, ""rsi_period"": 47, ""rsi_required"": false, ""slip_atr_k"": 0.07619258877683016, ""slip_spread_k"": 0.9408275295785665, ""spread_hl_frac"": 0.01770210018666404, ""strategy"": ""mean_reversion"", ""time_stop"": 61, ""tp_mult"": 1.9505597024086463, ""tsl_mult"": 0.7445828810371493, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.1893595401088198}"
7,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 23.460271086610952, ""atr_max_pct"": 0.04110667980809398, ""atr_min_pct"": 0.019465387815095277, ""bb_std_mult"": 2.9477904749088926, ""edge_cap"": 0.14387889813541838, ""edge_k"": 1.8913447642846266, ""ema1"": 18, ""ema2"": 12, ""p_adx"": 26, ""p_atr"": 14, ""p_sma"": 46, ""p_std"": 26, ""rsi_ob"": 88, ""rsi_os"": 33, ""rsi_period"": 63, ""rsi_required"": true, ""slip_atr_k"": 0.16346666624562148, ""slip_spread_k"": 0.5251319775798329, ""spread_hl_frac"": 0.03428164798819258, ""strategy"": ""mean_reversion"", ""time_stop"": 28, ""tp_mult"": 1.4679665998720284, ""tsl_mult"": 0.7586323269686169, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.03461088099116157}"
8,-0.1165120776991243,-0.11650020811135266,-1000000000.0,0.11650020811135266,-0.1165120776991243,-0.11650020811135266,3561.0,breakout,1,"{""adx_thresh"": 30.340890462766993, ""atr_max_pct"": 0.1325766731450178, ""atr_min_pct"": 0.0014777501112551606, ""bb_std_mult"": 1.3732152862812634, ""edge_cap"": 0.4642389912601207, ""edge_k"": 0.31452334395721526, ""ema1"": 19, ""ema2"": 47, ""p_adx"": 13, ""p_atr"": 17, ""p_sma"": 24, ""p_std"": 46, ""rsi_ob"": 72, ""rsi_os"": 49, ""rsi_period"": 32, ""rsi_required"": false, ""slip_atr_k"": 0.12214495594804772, ""slip_spread_k"": 0.7743022507620079, ""spread_hl_frac"": 0.008850159210046655, ""strategy"": ""breakout"", ""time_stop"": 13, ""tp_mult"": 2.034701583929696, ""tsl_mult"": 0.7100343476059827, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.1037694708391792}"
9,-0.08379692977887443,-0.08362461887995633,-1000000000.0,0.08362461887995633,-0.08379692977887443,-0.08362461887995633,598.0,mean_reversion,1,"{""adx_thresh"": 29.471009276699863, ""atr_max_pct"": 0.0758057528171892, ""atr_min_pct"": 0.012406362543518751, ""bb_std_mult"": 1.4126534707225302, ""edge_cap"": 0.4687184383859499, ""edge_k"": 0.8388944647070757, ""ema1"": 29, ""ema2"": 29, ""p_adx"": 25, ""p_atr"": 27, ""p_sma"": 57, ""p_std"": 17, ""rsi_ob"": 63, ""rsi_os"": 27, ""rsi_period"": 32, ""rsi_required"": false, ""slip_atr_k"": 0.16459003392428673, ""slip_spread_k"": 0.5547953759717618, ""spread_hl_frac"": 0.04482952620205066, ""strategy"": ""mean_reversion"", ""time_stop"": 53, ""tp_mult"": 2.335731687572235, ""tsl_mult"": 0.15201681524038868, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.04632188287541681}"
