number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.5398253640593026,-0.5397288865183175,-1000000000.0,0.5397288865183175,-0.5398253640593026,-0.5397288865183175,2145.0,breakout,1,"{""adx_thresh"": 31.911996611586563, ""atr_max_pct"": 0.09343315864626255, ""atr_min_pct"": 0.005904128642355724, ""bb_std_mult"": 2.9573874516692196, ""edge_cap"": 0.8333965840070418, ""edge_k"": 0.0801885351745204, ""ema1"": 22, ""ema2"": 15, ""p_adx"": 20, ""p_atr"": 11, ""p_sma"": 57, ""p_std"": 30, ""rsi_ob"": 67, ""rsi_os"": 36, ""rsi_period"": 55, ""rsi_required"": false, ""slip_atr_k"": 0.18636894157110837, ""slip_spread_k"": 0.28197907007423595, ""spread_hl_frac"": 0.03767122935721416, ""strategy"": ""breakout"", ""time_stop"": 44, ""tp_mult"": 2.151020121507216, ""tsl_mult"": 0.7049493541783121, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.2890396057222397}"
1,-0.7864179268570344,-0.7863086588271984,-1000000000.0,0.7863086588271984,-0.7864179268570344,-0.7863086588271984,4942.0,mean_reversion,1,"{""adx_thresh"": 25.39103830289662, ""atr_max_pct"": 0.13640018448141128, ""atr_min_pct"": 0.012569388572354987, ""bb_std_mult"": 2.831430516957197, ""edge_cap"": 0.9672257983215569, ""edge_k"": 1.8799613924712026, ""ema1"": 17, ""ema2"": 27, ""p_adx"": 16, ""p_atr"": 26, ""p_sma"": 40, ""p_std"": 6, ""rsi_ob"": 80, ""rsi_os"": 28, ""rsi_period"": 7, ""rsi_required"": false, ""slip_atr_k"": 0.13384985321249107, ""slip_spread_k"": 0.9367915977144112, ""spread_hl_frac"": 0.043827732497077, ""strategy"": ""mean_reversion"", ""time_stop"": 178, ""tp_mult"": 2.8908716483460117, ""tsl_mult"": 0.977051240642695, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.01161640403025368}"
2,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 28.77949529949001, ""atr_max_pct"": 0.02479166042139055, ""atr_min_pct"": 0.009794517639269171, ""bb_std_mult"": 1.503155947135914, ""edge_cap"": 0.7054446850030012, ""edge_k"": 1.6252878998236926, ""ema1"": 6, ""ema2"": 45, ""p_adx"": 16, ""p_atr"": 21, ""p_sma"": 52, ""p_std"": 56, ""rsi_ob"": 67, ""rsi_os"": 12, ""rsi_period"": 82, ""rsi_required"": true, ""slip_atr_k"": 0.11775061964419287, ""slip_spread_k"": 0.7813091216145229, ""spread_hl_frac"": 0.024263743037275076, ""strategy"": ""breakout"", ""time_stop"": 167, ""tp_mult"": 1.4478923304414135, ""tsl_mult"": 0.6646805714538835, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.29187692203481547}"
3,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 34.26796158868466, ""atr_max_pct"": 0.06209378099824629, ""atr_min_pct"": 0.027718356735049868, ""bb_std_mult"": 1.9445763733926797, ""edge_cap"": 0.20797862563636849, ""edge_k"": 1.9150027522629494, ""ema1"": 22, ""ema2"": 14, ""p_adx"": 18, ""p_atr"": 11, ""p_sma"": 51, ""p_std"": 42, ""rsi_ob"": 86, ""rsi_os"": 6, ""rsi_period"": 46, ""rsi_required"": false, ""slip_atr_k"": 0.001027621267288309, ""slip_spread_k"": 0.5171808480606177, ""spread_hl_frac"": 0.0039224653701354145, ""strategy"": ""breakout"", ""time_stop"": 147, ""tp_mult"": 2.157752042831454, ""tsl_mult"": 0.7436730220179443, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.048846658237730045}"
4,-0.36837795239252813,-0.3679640143535458,-1000000000.0,0.3679640143535458,-0.36837795239252813,-0.3679640143535458,1109.0,mean_reversion,1,"{""adx_thresh"": 26.746238482641164, ""atr_max_pct"": 0.05529333585065229, ""atr_min_pct"": 0.014631852333862, ""bb_std_mult"": 1.5187539857483343, ""edge_cap"": 0.22127419384537145, ""edge_k"": 0.36579044749082334, ""ema1"": 7, ""ema2"": 31, ""p_adx"": 18, ""p_atr"": 11, ""p_sma"": 32, ""p_std"": 51, ""rsi_ob"": 76, ""rsi_os"": 41, ""rsi_period"": 57, ""rsi_required"": true, ""slip_atr_k"": 0.16556347266122576, ""slip_spread_k"": 0.9805532446458998, ""spread_hl_frac"": 0.007871877246347003, ""strategy"": ""mean_reversion"", ""time_stop"": 158, ""tp_mult"": 1.5040777752316778, ""tsl_mult"": 0.6159458979988995, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.23145056424937532}"
5,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 29.589886613953965, ""atr_max_pct"": 0.02249822585020333, ""atr_min_pct"": 0.004028960175208541, ""bb_std_mult"": 3.511941932120573, ""edge_cap"": 0.4640604238863733, ""edge_k"": 1.903378000416229, ""ema1"": 12, ""ema2"": 30, ""p_adx"": 15, ""p_atr"": 16, ""p_sma"": 18, ""p_std"": 36, ""rsi_ob"": 46, ""rsi_os"": 28, ""rsi_period"": 36, ""rsi_required"": true, ""slip_atr_k"": 0.17532010555806288, ""slip_spread_k"": 0.005550731753927063, ""spread_hl_frac"": 0.018929243995118507, ""strategy"": ""mean_reversion"", ""time_stop"": 36, ""tp_mult"": 1.8957047448728392, ""tsl_mult"": 0.6682034440850952, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.28489770692691185}"
6,-0.2382885745143607,-0.23791393584475018,-1000000000.0,0.23791393584475018,-0.2382885745143607,-0.23791393584475018,854.0,breakout,1,"{""adx_thresh"": 13.64162496859022, ""atr_max_pct"": 0.14314035074596287, ""atr_min_pct"": 0.013852948632925974, ""bb_std_mult"": 2.8614279051998057, ""edge_cap"": 0.8829524699468694, ""edge_k"": 0.18184717458547506, ""ema1"": 16, ""ema2"": 47, ""p_adx"": 15, ""p_atr"": 19, ""p_sma"": 36, ""p_std"": 57, ""rsi_ob"": 57, ""rsi_os"": 12, ""rsi_period"": 36, ""rsi_required"": true, ""slip_atr_k"": 0.15622224331805748, ""slip_spread_k"": 0.2654414946159699, ""spread_hl_frac"": 0.006830594972584647, ""strategy"": ""breakout"", ""time_stop"": 272, ""tp_mult"": 1.9991739721002253, ""tsl_mult"": 0.5140189605515295, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.29691087807883537}"
7,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 24.430494303467736, ""atr_max_pct"": 0.03622676313732899, ""atr_min_pct"": 0.025570473451444253, ""bb_std_mult"": 2.212943234486429, ""edge_cap"": 0.10918113973779131, ""edge_k"": 0.43897861673529404, ""ema1"": 12, ""ema2"": 14, ""p_adx"": 7, ""p_atr"": 15, ""p_sma"": 26, ""p_std"": 54, ""rsi_ob"": 50, ""rsi_os"": 22, ""rsi_period"": 42, ""rsi_required"": false, ""slip_atr_k"": 0.09130566685443414, ""slip_spread_k"": 0.186548502814463, ""spread_hl_frac"": 0.0403084891634002, ""strategy"": ""mean_reversion"", ""time_stop"": 161, ""tp_mult"": 1.5416804827374613, ""tsl_mult"": 0.24872307821422968, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.01716346922926477}"
8,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 7.605416915189338, ""atr_max_pct"": 0.1069995400739257, ""atr_min_pct"": 0.018208887152251343, ""bb_std_mult"": 0.5321004598663116, ""edge_cap"": 0.5413345121314939, ""edge_k"": 0.4935392216411896, ""ema1"": 14, ""ema2"": 12, ""p_adx"": 7, ""p_atr"": 28, ""p_sma"": 7, ""p_std"": 10, ""rsi_ob"": 76, ""rsi_os"": 27, ""rsi_period"": 75, ""rsi_required"": true, ""slip_atr_k"": 0.13344059728444374, ""slip_spread_k"": 0.20887079418936205, ""spread_hl_frac"": 0.016618531156160632, ""strategy"": ""mean_reversion"", ""time_stop"": 246, ""tp_mult"": 2.8774684789784533, ""tsl_mult"": 0.8911582772634117, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.2737412235458727}"
9,-0.006738174499118732,0.0,-1000000000.0,1000000000.0,-0.006738174499118732,0.0,1.0,breakout,1,"{""adx_thresh"": 14.537631184415169, ""atr_max_pct"": 0.022276438912238843, ""atr_min_pct"": 0.0024121328636338823, ""bb_std_mult"": 0.6418164408776782, ""edge_cap"": 0.4378157817664355, ""edge_k"": 1.3590034469551637, ""ema1"": 9, ""ema2"": 38, ""p_adx"": 30, ""p_atr"": 18, ""p_sma"": 53, ""p_std"": 28, ""rsi_ob"": 88, ""rsi_os"": 36, ""rsi_period"": 68, ""rsi_required"": true, ""slip_atr_k"": 0.24392527865535477, ""slip_spread_k"": 0.6469555915021072, ""spread_hl_frac"": 0.015795227896844566, ""strategy"": ""breakout"", ""time_stop"": 56, ""tp_mult"": 1.781016183364975, ""tsl_mult"": 0.06212915002535435, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.0527545939910018}"
